meal_type,celebrity_slug,title,key_ingredients,description
breakfast,lindsey-vonn,Almond Butter Quinoa Bowl with Blueberries,Quinoa; Almond Butter; Blueberries; Almonds; Honey,"Warm cooked quinoa stirred with almond butter until creamy, then topped with fresh blueberries and chopped almonds for a carbohydrate-forward pre-training breakfast."
breakfast,tom-brady,Avocado and Egg Bowl (No Nightshades),Eggs; Spinach; Mushrooms; Avocado; Sweet Potato; Extra Virgin Olive Oil,"Eggs with avocado, mushrooms, and sweet potato"
breakfast,gisele-bundchen,Avocado and Egg Scramble on Gluten-Free Toast,Eggs; Avocado; Ezekiel Bread; Spinach; Extra Virgin Olive Oil; Sea Salt,"Soft-scrambled eggs folded with diced avocado, served on toasted Ezekiel bread with a side of fresh spinach for a simple high-protein morning plate."
breakfast,gisele-bundchen,Avocado and Egg Toast on Ezekiel Bread,Ezekiel Bread; Eggs; Avocado; Lemon; Pumpkin Seeds; Cilantro,"Two organic eggs with creamy mashed avocado on toasted Ezekiel bread, finished with pumpkin seeds and fresh herbs — a nourishing brunch staple."
breakfast,gwyneth-paltrow,Avocado and Smoked Salmon Toast,Ezekiel Bread; Avocado; Smoked Salmon; Lemon; Capers; Dill,Smoked salmon and avocado on Ezekiel toast
breakfast,joaquin-phoenix,Avocado and Sprout Toast,Ezekiel Bread; Avocado; Bean Sprouts; Lemon; Sea Salt,Avocado and sprouts on Ezekiel toast
breakfast,natalie-portman,Avocado Toast with Chickpea Spread,Sourdough Bread; Chickpeas; Avocado; Lemon; Cherry Tomatoes; Cumin,Mashed chickpea and avocado toast
breakfast,tabitha-brown,Avocado Toast with Hemp Seeds,Whole Wheat Bread; Avocado; Tomato; Hemp Seeds; Sea Salt; Black Pepper,Mashed avocado on toasted whole wheat bread topped with sliced tomato and a generous sprinkle of hemp seeds.
breakfast,lebron-james,Avocado Toast with Smoked Salmon and Eggs,Sourdough Bread; Avocado; Smoked Salmon; Eggs; Black Pepper,"Smoked salmon, egg, and avocado toast"
breakfast,natalie-portman,Berry and Granola Smoothie Bowl,Frozen Mixed Berries; Frozen Banana; Almond Milk; Granola; Chia Seeds; Strawberries,Berry smoothie bowl with granola and chia
breakfast,megan-thee-stallion,Blueberry Banana Almond Milk Smoothie Bowl,Frozen Banana; Blueberries; Almond Milk; Plant Protein Powder; Granola,"A thick blended base of frozen banana, blueberries, almond milk, and plant protein poured into a bowl and topped with crunchy granola."
breakfast,tia-clair-toomey,Champion's Breakfast Bowl,Eggs; Bacon; Bagel; Peanut Butter; Banana; Blueberries,"Scrambled eggs and crispy bacon served alongside a toasted bagel with peanut butter, fresh banana, and blueberries — the same morning meal Tia-Clair Toomey uses to power early training sessions."
breakfast,joaquin-phoenix,Chia Pudding with Mango,Chia Seeds; Coconut Milk; Agave Nectar; Mango; Coconut Flakes,Coconut chia pudding with mango
breakfast,dwayne-johnson,Cod and Sweet Potato Breakfast,Cod Fillet; Sweet Potato; Asparagus; Lemon,Baked cod with sweet potato and asparagus
breakfast,jennifer-aniston,Collagen Coffee Smoothie,Frozen Banana; Collagen Peptides; Almond Milk; Almond Butter; Cinnamon,Banana coffee smoothie with collagen
breakfast,cameron-diaz,Collard Green and Egg White Oat Skillet,Rolled Oats; Collard Greens; Egg Whites; Tomato; Extra Virgin Olive Oil; Garlic,"Rolled oats par-cooked then folded into a skillet with sauteed collard greens, diced fresh tomato, and egg whites stirred through, served with lemon over the top."
breakfast,tia-clair-toomey,Egg & Bacon Scramble with Sliced Avocado,Eggs; Bacon; Avocado; Avocado Oil; Sea Salt; Black Pepper,"Fluffy scrambled eggs paired with crispy bacon strips and fanned avocado slices on the side — a low-carb, high-fat morning plate built for early training sessions."
